data,dove,titolo,link,ID
2016/08/26,Il Tirreno,"Terremoto, raccolta aiuti spontanea. Manca coordinamento, da Rieti arriva lo stop",http://iltirreno.gelocal.it/italia-mondo/2016/08/26/news/terremoto-l-aiuto-anche-non-richiesto-arriva-dal-basso-la-galassia-della-raccolta-beni-1.14015350,20160826
2016/08/27,Pratosfera.com,TerremotoCentroItalia.info: un aiuto dal basso nato tra Prato e Cento,http://www.pratosfera.com/2016/08/27/terremoto-centro-italia-info-aiuto-dal-basso/,20160827
2016/08/27,Slow News,"Terremoto, giornalismo e comunicazione in emergenza",http://wolf.slow-news.com/terremoto-giornalismo-comunicazione-emergenza/,20160827
2016/08/27,Startup Italia,"Terremoto Centro Italia, il progetto di hacking civico per condividere le notizie (utili) sul sisma",http://thenexttech.startupitalia.eu/56630-20160827-terremoto-centro-italia-news-sito,20160827
2016/08/28,Cittadini di Twitter,Terremotocentroitalia.info un aiuto online per le popolazioni colpite dal sisma,http://www.cittadiniditwitter.it/news/terremotocentroitalia-info-un-aiuto-online-per-le-popolazioni-colpite-dal-sisma/,20160828
2016/08/28,Forbes,Italy Earthquake: What The Italian Tech Community Is Doing,http://www.forbes.com/sites/federicoguerrini/2016/08/28/italy-earthquake-crowdfunding-campaign-raises-more-than-150000-in-one-day/#32135dd66bce,20160828
2016/08/28,Radio Perusia,#terremoto - Aggiornamenti,http://www.spreaker.com/user/radioperusia/terremoto-aggiornamenti,20160828
2016/08/29,Radio1,Tgr delle 13,http://www.rai.it/dl/grr/edizioni/ContentItem-e1374567-e840-4292-90e0-1a213c4ce887.html,20160829
2016/08/29,Wired.it,Che cosa stanno facendo gli attivisti digitali per il terremoto,http://www.wired.it/attualita/ambiente/2016/08/29/terremoto-centro-italia-terremoto-atttivisti/,20160829
2016/08/29,quibrianza.it,Terremoto: centinaia di attivisti digitali in aiuto delle popolazioni colpite,http://quibrianza.it/cronaca/terremoto-centinaia-di-attivisti-digitali-in-aiuto-delle-popolazioni-colpite.html,20160829
2016/08/29,Tiscali,"""Angeli del digitale"" al lavoro per aiutare chi opera nei territori colpiti dal sisma del Centro Italia",http://tecnologia.tiscali.it/socialnews/articoli/fancello/17497/-angeli-del-digitale-al-lavoro-per-aiutare-chi-opera-nei-territori-colpiti-dal-sisma-del-centro-italia/,20160829
2016/08/29,Volontariato Oggi,"Terremoto, centinaia di attivisti digitali in aiuto delle popolazioni colpite",http://www.volontariatoggi.info/terremoto-centinaia-di-attivisti-digitali-in-aiuto-delle-popolazioni-colpite/,20160829
2016/08/29,Tirreno Toscana,"Amatrice prima e dopo il terremoto, vista dal satellite",http://iltirreno.gelocal.it/italia-mondo/2016/08/29/news/amatrice-prima-e-dopo-il-terremoto-vista-dal-satellite-1.14030877,20160829
2016/08/29,Close-up Engineering,"TerremotoCentroItalia, centinaia di attivisti digitali in aiuto delle popolazioni colpite",http://systems.closeupengineering.it/terremoto-centinaia-attivisti-digitali-aiuto-delle-popolazioni-colpite/9527/,20160829
2016/08/30,Quotidiano Piemontese,Il Terremoto del 24 Agosto 2016 in Centro Italia in un sito per condividere informazioni utili e verificate,http://www.quotidianopiemontese.it/testolibero/2016/08/30/terremoto-del-24-agosto-2016-centro-italia-un-sito-condividere-informazioni-utili-verificate/#.V8Vvr5OLRE4,20160830
